time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),sunrise (iso8601),sunset (iso8601),precipitation_sum (inch),rain_sum (inch),snowfall_sum (inch),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (inch)
2022-08-08,67.5,44.5,56.6,2022-08-08T05:22,2022-08-08T20:47,0.000,0.000,0.000,20.96,0.139
2022-08-09,69.3,46.4,58.8,2022-08-09T05:24,2022-08-09T20:44,0.000,0.000,0.000,23.51,0.157
2022-08-10,69.8,46.0,59.0,2022-08-10T05:25,2022-08-10T20:42,0.000,0.000,0.000,22.68,0.151
2022-08-11,63.3,47.7,56.3,2022-08-11T05:27,2022-08-11T20:40,0.252,0.252,0.000,15.41,0.092
2022-08-12,69.2,47.6,58.5,2022-08-12T05:29,2022-08-12T20:38,0.028,0.028,0.000,17.01,0.114
2022-08-13,68.7,48.1,59.6,2022-08-13T05:31,2022-08-13T20:36,0.039,0.039,0.000,20.88,0.138
2022-08-14,70.0,48.0,59.5,2022-08-14T05:33,2022-08-14T20:34,0.000,0.000,0.000,20.18,0.136
2022-08-15,70.4,52.7,60.4,2022-08-15T05:34,2022-08-15T20:32,0.386,0.386,0.000,19.89,0.130
2022-08-16,60.0,46.5,52.9,2022-08-16T05:36,2022-08-16T20:30,0.138,0.138,0.000,17.33,0.098
2022-08-17,56.6,46.1,50.6,2022-08-17T05:38,2022-08-17T20:27,0.016,0.016,0.000,10.34,0.069
2022-08-18,57.1,38.2,47.6,2022-08-18T05:40,2022-08-18T20:25,0.177,0.177,0.000,13.04,0.075
2022-08-19,56.5,40.7,48.4,2022-08-19T05:42,2022-08-19T20:23,0.039,0.039,0.000,15.27,0.086
2022-08-20,56.3,43.7,49.3,2022-08-20T05:44,2022-08-20T20:20,0.138,0.138,0.000,12.57,0.072
2022-08-21,54.0,42.6,48.3,2022-08-21T05:45,2022-08-21T20:18,0.146,0.146,0.000,10.19,0.057
2022-08-22,57.7,45.2,50.7,2022-08-22T05:47,2022-08-22T20:16,0.043,0.043,0.000,11.64,0.069
2022-08-23,54.0,42.2,48.4,2022-08-23T05:49,2022-08-23T20:13,0.201,0.201,0.000,11.50,0.065
2022-08-24,49.4,41.3,44.6,2022-08-24T05:51,2022-08-24T20:11,0.248,0.248,0.000,7.42,0.040
2022-08-25,55.7,43.2,48.1,2022-08-25T05:53,2022-08-25T20:09,0.142,0.142,0.000,14.22,0.080
2022-08-26,64.8,41.6,53.0,2022-08-26T05:55,2022-08-26T20:06,0.024,0.024,0.000,17.92,0.109
2022-08-27,63.1,45.3,54.6,2022-08-27T05:56,2022-08-27T20:04,0.028,0.028,0.000,14.42,0.089
2022-08-28,56.2,42.2,49.7,2022-08-28T05:58,2022-08-28T20:01,0.071,0.071,0.000,15.47,0.091
2022-08-29,53.2,36.6,45.9,2022-08-29T06:00,2022-08-29T19:59,0.012,0.012,0.000,8.65,0.065
2022-08-30,50.7,36.6,45.7,2022-08-30T06:02,2022-08-30T19:57,0.051,0.051,0.000,18.23,0.100
2022-08-31,60.7,33.2,47.8,2022-08-31T06:04,2022-08-31T19:54,0.000,0.000,0.000,15.23,0.099
2022-09-01,60.1,48.6,54.4,2022-09-01T06:06,2022-09-01T19:52,0.063,0.063,0.000,7.92,0.059
2022-09-02,65.3,51.0,56.1,2022-09-02T06:07,2022-09-02T19:49,0.382,0.382,0.000,11.56,0.073
2022-09-03,52.7,40.8,46.9,2022-09-03T06:09,2022-09-03T19:47,0.244,0.244,0.000,7.98,0.043
2022-09-04,46.7,39.7,42.4,2022-09-04T06:11,2022-09-04T19:44,0.094,0.094,0.000,5.96,0.035
2022-09-05,56.9,30.9,44.0,2022-09-05T06:13,2022-09-05T19:42,0.000,0.000,0.000,12.68,0.069
2022-09-06,60.9,45.0,52.4,2022-09-06T06:15,2022-09-06T19:39,0.114,0.114,0.000,12.74,0.079
2022-09-07,56.8,42.9,49.7,2022-09-07T06:16,2022-09-07T19:37,0.181,0.181,0.000,6.35,0.040
2022-09-08,81.5,45.3,60.6,2022-09-08T06:18,2022-09-08T19:34,0.000,0.000,0.000,17.40,0.145
2022-09-09,55.9,44.0,48.4,2022-09-09T06:20,2022-09-09T19:32,0.457,0.457,0.000,6.96,0.049
2022-09-10,55.3,36.9,46.3,2022-09-10T06:22,2022-09-10T19:29,0.000,0.000,0.000,13.46,0.075
2022-09-11,59.7,34.7,47.5,2022-09-11T06:24,2022-09-11T19:27,0.000,0.000,0.000,16.16,0.099
2022-09-12,70.7,40.1,53.3,2022-09-12T06:26,2022-09-12T19:24,0.000,0.000,0.000,12.70,0.088
2022-09-13,56.0,41.5,48.9,2022-09-13T06:27,2022-09-13T19:22,0.232,0.232,0.000,14.32,0.087
2022-09-14,54.5,36.6,44.7,2022-09-14T06:29,2022-09-14T19:19,0.000,0.000,0.000,15.63,0.087
2022-09-15,53.3,39.5,44.6,2022-09-15T06:31,2022-09-15T19:17,0.000,0.000,0.000,8.59,0.054
2022-09-16,53.0,40.3,45.8,2022-09-16T06:33,2022-09-16T19:14,0.000,0.000,0.000,16.90,0.098
2022-09-17,48.7,32.8,41.8,2022-09-17T06:35,2022-09-17T19:11,0.000,0.000,0.000,11.32,0.070
2022-09-18,53.5,35.7,43.1,2022-09-18T06:36,2022-09-18T19:09,0.000,0.000,0.000,15.21,0.081
2022-09-19,57.4,31.8,43.5,2022-09-19T06:38,2022-09-19T19:06,0.000,0.000,0.000,14.79,0.081
2022-09-20,46.7,41.8,43.7,2022-09-20T06:40,2022-09-20T19:04,0.287,0.287,0.000,3.83,0.023
2022-09-21,42.0,32.9,38.3,2022-09-21T06:42,2022-09-21T19:01,0.150,0.094,0.386,7.49,0.041
2022-09-22,42.3,25.7,35.6,2022-09-22T06:44,2022-09-22T18:59,0.079,0.079,0.000,5.88,0.035
2022-09-23,53.7,38.8,45.8,2022-09-23T06:46,2022-09-23T18:56,0.114,0.114,0.000,6.17,0.042
2022-09-24,45.3,29.9,36.9,2022-09-24T06:47,2022-09-24T18:54,0.138,0.087,0.358,7.83,0.039
2022-09-25,41.6,31.7,35.2,2022-09-25T06:49,2022-09-25T18:51,0.327,0.024,2.122,7.25,0.039
2022-09-26,51.6,30.8,37.3,2022-09-26T06:51,2022-09-26T18:49,0.146,0.028,0.827,5.91,0.033
2022-09-27,40.7,28.4,34.5,2022-09-27T06:53,2022-09-27T18:46,0.004,0.004,0.000,8.29,0.040
2022-09-28,36.7,26.9,31.9,2022-09-28T06:55,2022-09-28T18:44,0.209,0.000,1.461,2.79,0.017
2022-09-29,51.1,28.4,38.4,2022-09-29T06:57,2022-09-29T18:41,0.012,0.012,0.000,10.17,0.049
2022-09-30,43.3,28.5,34.2,2022-09-30T06:59,2022-09-30T18:39,0.118,0.091,0.193,4.08,0.020
2022-10-01,35.5,25.1,30.8,2022-10-01T07:00,2022-10-01T18:36,0.083,0.000,0.606,9.63,0.043
2022-10-02,32.9,22.2,27.6,2022-10-02T07:02,2022-10-02T18:34,0.051,0.000,0.358,8.50,0.039
2022-10-03,31.8,26.4,28.9,2022-10-03T07:04,2022-10-03T18:31,0.055,0.000,0.386,4.55,0.027
2022-10-04,33.3,24.3,28.3,2022-10-04T07:06,2022-10-04T18:29,0.039,0.000,0.276,6.25,0.028
2022-10-05,34.1,20.8,27.6,2022-10-05T07:08,2022-10-05T18:26,0.012,0.000,0.083,5.58,0.025
2022-10-06,35.6,23.7,29.2,2022-10-06T07:10,2022-10-06T18:24,0.063,0.000,0.441,4.17,0.022
2022-10-07,34.9,25.1,30.0,2022-10-07T07:12,2022-10-07T18:21,0.000,0.000,0.000,6.16,0.031
2022-10-08,38.4,23.1,30.1,2022-10-08T07:14,2022-10-08T18:19,0.000,0.000,0.000,10.11,0.039
2022-10-09,47.8,22.1,31.8,2022-10-09T07:15,2022-10-09T18:16,0.000,0.000,0.000,10.97,0.057
2022-10-10,50.4,24.5,36.2,2022-10-10T07:17,2022-10-10T18:14,0.000,0.000,0.000,8.32,0.044
2022-10-11,43.7,31.4,36.0,2022-10-11T07:19,2022-10-11T18:12,0.067,0.067,0.000,5.80,0.026
2022-10-12,41.0,32.4,35.9,2022-10-12T07:21,2022-10-12T18:09,0.067,0.059,0.055,2.83,0.017
2022-10-13,35.3,29.0,32.7,2022-10-13T07:23,2022-10-13T18:07,0.291,0.075,1.516,1.90,0.010
2022-10-14,34.6,28.6,31.0,2022-10-14T07:25,2022-10-14T18:04,0.083,0.000,0.579,3.57,0.020
2022-10-15,34.2,26.1,30.1,2022-10-15T07:27,2022-10-15T18:02,0.043,0.000,0.303,6.27,0.027
2022-10-16,36.4,21.4,27.7,2022-10-16T07:29,2022-10-16T18:00,0.000,0.000,0.000,8.55,0.033
2022-10-17,44.6,18.8,29.6,2022-10-17T07:31,2022-10-17T17:57,0.000,0.000,0.000,9.95,0.048
2022-10-18,40.0,25.1,31.2,2022-10-18T07:33,2022-10-18T17:55,0.016,0.012,0.028,4.17,0.026
2022-10-19,40.3,28.1,32.7,2022-10-19T07:35,2022-10-19T17:52,0.000,0.000,0.000,5.16,0.024
2022-10-20,37.2,26.6,30.4,2022-10-20T07:37,2022-10-20T17:50,0.004,0.000,0.028,5.08,0.022
2022-10-21,38.7,23.1,29.8,2022-10-21T07:39,2022-10-21T17:48,0.000,0.000,0.000,7.47,0.031
2022-10-22,38.6,25.6,31.1,2022-10-22T07:41,2022-10-22T17:45,0.012,0.000,0.083,3.78,0.020
2022-10-23,48.7,26.0,35.1,2022-10-23T07:43,2022-10-23T17:43,0.000,0.000,0.000,7.73,0.043
2022-10-24,38.3,24.8,32.5,2022-10-24T07:45,2022-10-24T17:41,0.177,0.157,0.138,3.24,0.022
2022-10-25,33.2,20.4,26.2,2022-10-25T07:46,2022-10-25T17:39,0.000,0.000,0.000,7.65,0.033
2022-10-26,38.2,16.5,26.7,2022-10-26T07:48,2022-10-26T17:37,0.000,0.000,0.000,8.19,0.038
2022-10-27,41.2,19.9,28.4,2022-10-27T07:50,2022-10-27T17:34,0.000,0.000,0.000,8.03,0.034
2022-10-28,43.1,16.8,28.7,2022-10-28T07:52,2022-10-28T17:32,0.000,0.000,0.000,7.73,0.038
2022-10-29,35.1,20.4,27.7,2022-10-29T07:54,2022-10-29T17:30,0.004,0.000,0.028,4.80,0.022
2022-10-30,27.8,19.3,24.7,2022-10-30T07:56,2022-10-30T17:28,0.016,0.000,0.138,3.99,0.024
2022-10-31,23.5,14.5,19.2,2022-10-31T07:58,2022-10-31T17:26,0.000,0.000,0.000,3.84,0.017
2022-11-01,25.2,10.3,16.7,2022-11-01T08:00,2022-11-01T17:24,0.000,0.000,0.000,7.12,0.020
2022-11-02,30.2,10.4,18.8,2022-11-02T08:02,2022-11-02T17:22,0.000,0.000,0.000,6.98,0.023
2022-11-03,34.0,10.4,20.1,2022-11-03T08:04,2022-11-03T17:20,0.000,0.000,0.000,5.59,0.020
2022-11-04,34.7,15.0,24.8,2022-11-04T08:06,2022-11-04T17:18,0.000,0.000,0.000,5.22,0.022
2022-11-05,30.7,24.5,27.7,2022-11-05T08:08,2022-11-05T17:16,0.071,0.004,0.469,2.04,0.012
2022-11-06,35.2,25.8,29.3,2022-11-06T08:10,2022-11-06T17:14,0.000,0.000,0.000,2.23,0.016
2022-11-07,36.4,23.8,29.8,2022-11-07T08:12,2022-11-07T17:12,0.098,0.004,0.661,3.33,0.015
2022-11-08,29.3,20.0,23.8,2022-11-08T08:14,2022-11-08T17:10,0.031,0.000,0.220,3.41,0.017
2022-11-09,25.7,14.4,19.1,2022-11-09T08:16,2022-11-09T17:08,0.000,0.000,0.000,5.78,0.015
2022-11-10,26.8,10.4,18.3,2022-11-10T08:18,2022-11-10T17:07,0.000,0.000,0.000,4.77,0.016
2022-11-11,26.9,14.7,19.9,2022-11-11T08:20,2022-11-11T17:05,0.004,0.000,0.028,3.62,0.015
2022-11-12,28.7,13.4,19.5,2022-11-12T08:22,2022-11-12T17:03,0.000,0.000,0.000,5.12,0.019
2022-11-13,31.4,9.9,20.1,2022-11-13T08:24,2022-11-13T17:01,0.008,0.000,0.055,5.25,0.023
2022-11-14,30.6,16.6,24.0,2022-11-14T08:26,2022-11-14T17:00,0.039,0.000,0.276,2.47,0.018
2022-11-15,32.8,22.0,28.1,2022-11-15T08:28,2022-11-15T16:58,0.031,0.000,0.220,2.32,0.011
2022-11-16,34.0,17.7,25.8,2022-11-16T08:30,2022-11-16T16:56,0.031,0.000,0.220,2.84,0.014
2022-11-17,34.2,14.5,24.7,2022-11-17T08:32,2022-11-17T16:55,0.012,0.000,0.083,4.43,0.017
2022-11-18,25.1,4.8,16.0,2022-11-18T08:34,2022-11-18T16:53,0.083,0.000,0.579,2.72,0.013
2022-11-19,11.8,-2.0,5.7,2022-11-19T08:36,2022-11-19T16:52,0.000,0.000,0.000,3.69,0.007
2022-11-20,9.4,-8.4,0.5,2022-11-20T08:37,2022-11-20T16:51,0.000,0.000,0.000,4.72,0.007
2022-11-21,14.9,-8.1,2.7,2022-11-21T08:39,2022-11-21T16:49,0.008,0.000,0.055,2.53,0.006
2022-11-22,9.3,-6.2,1.5,2022-11-22T08:41,2022-11-22T16:48,0.012,0.000,0.083,4.47,0.007
2022-11-23,17.1,-5.1,6.2,2022-11-23T08:43,2022-11-23T16:47,0.012,0.000,0.083,3.91,0.007
2022-11-24,14.2,-7.8,2.1,2022-11-24T08:45,2022-11-24T16:46,0.059,0.000,0.413,4.37,0.009
2022-11-25,0.4,-17.1,-8.5,2022-11-25T08:46,2022-11-25T16:44,0.000,0.000,0.000,3.62,0.006
2022-11-26,5.7,-12.4,-1.7,2022-11-26T08:48,2022-11-26T16:43,0.024,0.000,0.165,2.44,0.006
2022-11-27,-1.3,-23.0,-13.6,2022-11-27T08:50,2022-11-27T16:42,0.008,0.000,0.110,2.66,0.004
2022-11-28,-10.9,-34.7,-20.7,2022-11-28T08:52,2022-11-28T16:41,0.020,0.000,0.138,3.00,0.003
2022-11-29,-8.3,-12.1,-10.1,2022-11-29T08:53,2022-11-29T16:40,0.098,0.000,0.689,2.05,0.005
2022-11-30,-5.2,-10.4,-7.8,2022-11-30T08:55,2022-11-30T16:39,0.039,0.000,0.303,2.63,0.004
2022-12-01,-1.0,-14.2,-6.6,2022-12-01T08:57,2022-12-01T16:38,0.071,0.004,0.469,1.55,0.006
2022-12-02,-11.6,-19.4,-14.9,2022-12-02T08:58,2022-12-02T16:38,0.004,0.000,0.028,2.81,0.003
2022-12-03,-4.0,-14.1,-9.1,2022-12-03T09:00,2022-12-03T16:37,0.031,0.000,0.248,2.41,0.004
2022-12-04,1.0,-10.0,-3.8,2022-12-04T09:01,2022-12-04T16:36,0.028,0.000,0.193,2.59,0.004
2022-12-05,8.1,-8.2,1.1,2022-12-05T09:03,2022-12-05T16:36,0.028,0.000,0.220,1.83,0.007
2022-12-06,9.4,7.0,8.3,2022-12-06T09:04,2022-12-06T16:35,0.142,0.000,0.992,0.81,0.009
2022-12-07,9.8,5.6,7.8,2022-12-07T09:05,2022-12-07T16:34,0.075,0.000,0.524,1.81,0.008
2022-12-08,9.0,4.9,6.9,2022-12-08T09:06,2022-12-08T16:34,0.055,0.000,0.413,1.88,0.007
2022-12-09,9.0,2.6,5.4,2022-12-09T09:08,2022-12-09T16:34,0.008,0.000,0.055,2.07,0.006
2022-12-10,9.3,-1.8,3.9,2022-12-10T09:09,2022-12-10T16:33,0.000,0.000,0.000,2.98,0.008
2022-12-11,8.3,-9.0,0.1,2022-12-11T09:10,2022-12-11T16:33,0.016,0.000,0.138,1.91,0.007
2022-12-12,-10.3,-18.9,-16.0,2022-12-12T09:11,2022-12-12T16:33,0.024,0.000,0.165,2.52,0.003
2022-12-13,-12.5,-23.1,-17.5,2022-12-13T09:12,2022-12-13T16:33,0.016,0.000,0.110,3.18,0.002
2022-12-14,-12.8,-31.1,-22.6,2022-12-14T09:13,2022-12-14T16:33,0.000,0.000,0.000,3.16,0.002
2022-12-15,-10.3,-23.1,-15.4,2022-12-15T09:14,2022-12-15T16:33,0.016,0.000,0.110,2.25,0.003
2022-12-16,-6.3,-28.9,-16.4,2022-12-16T09:15,2022-12-16T16:33,0.051,0.000,0.386,1.62,0.003
2022-12-17,8.5,-5.7,1.7,2022-12-17T09:16,2022-12-17T16:33,0.071,0.000,0.496,1.51,0.004
2022-12-18,6.9,-8.9,-1.8,2022-12-18T09:16,2022-12-18T16:33,0.000,0.000,0.000,2.88,0.003
2022-12-19,5.5,-8.9,1.7,2022-12-19T09:17,2022-12-19T16:34,0.024,0.000,0.165,2.01,0.005
2022-12-20,7.5,-4.9,2.9,2022-12-20T09:18,2022-12-20T16:34,0.071,0.000,0.496,1.49,0.004
2022-12-21,-0.3,-22.1,-9.2,2022-12-21T09:18,2022-12-21T16:34,0.028,0.000,0.193,1.94,0.003
2022-12-22,8.7,-1.0,3.7,2022-12-22T09:19,2022-12-22T16:35,0.012,0.000,0.083,2.83,0.005
2022-12-23,15.9,6.8,11.4,2022-12-23T09:19,2022-12-23T16:36,0.075,0.000,0.524,1.62,0.005
2022-12-24,7.0,-7.1,2.7,2022-12-24T09:20,2022-12-24T16:36,0.047,0.000,0.331,1.80,0.003
2022-12-25,-6.7,-21.1,-12.8,2022-12-25T09:20,2022-12-25T16:37,0.000,0.000,0.000,3.02,0.002
2022-12-26,-8.9,-24.7,-17.1,2022-12-26T09:20,2022-12-26T16:38,0.000,0.000,0.000,3.07,0.002
2022-12-27,-9.3,-27.9,-18.4,2022-12-27T09:21,2022-12-27T16:38,0.000,0.000,0.000,3.09,0.002
2022-12-28,11.6,-15.6,-0.8,2022-12-28T09:21,2022-12-28T16:39,0.004,0.000,0.028,1.28,0.004
2022-12-29,13.1,0.5,6.9,2022-12-29T09:21,2022-12-29T16:40,0.012,0.000,0.083,2.73,0.005
2022-12-30,12.2,-10.6,1.0,2022-12-30T09:21,2022-12-30T16:41,0.000,0.000,0.000,2.82,0.004
2022-12-31,-8.3,-21.4,-16.1,2022-12-31T09:21,2022-12-31T16:42,0.000,0.000,0.000,3.16,0.002
2023-01-01,-13.5,-28.4,-22.1,2023-01-01T09:20,2023-01-01T16:43,0.000,0.000,0.000,3.18,0.002
2023-01-02,-13.1,-28.9,-22.9,2023-01-02T09:20,2023-01-02T16:44,0.000,0.000,0.000,3.28,0.002
2023-01-03,-11.2,-27.9,-20.4,2023-01-03T09:20,2023-01-03T16:45,0.000,0.000,0.000,3.15,0.002
2023-01-04,-4.9,-19.3,-13.5,2023-01-04T09:20,2023-01-04T16:47,0.000,0.000,0.000,3.31,0.003
2023-01-05,-0.9,-22.9,-12.7,2023-01-05T09:19,2023-01-05T16:48,0.012,0.000,0.083,3.25,0.003
2023-01-06,14.5,-8.2,1.3,2023-01-06T09:19,2023-01-06T16:49,0.016,0.000,0.110,1.44,0.004
2023-01-07,16.4,4.3,9.8,2023-01-07T09:18,2023-01-07T16:51,0.043,0.004,0.276,1.30,0.006
2023-01-08,3.3,-12.1,-3.4,2023-01-08T09:18,2023-01-08T16:52,0.000,0.000,0.000,3.07,0.004
2023-01-09,16.5,-2.4,6.8,2023-01-09T09:17,2023-01-09T16:54,0.000,0.000,0.000,2.23,0.006
2023-01-10,21.4,11.0,17.1,2023-01-10T09:16,2023-01-10T16:55,0.063,0.000,0.441,1.37,0.007
2023-01-11,8.2,-12.5,-0.8,2023-01-11T09:16,2023-01-11T16:57,0.020,0.000,0.138,2.38,0.005
2023-01-12,-13.8,-19.9,-16.7,2023-01-12T09:15,2023-01-12T16:58,0.000,0.000,0.000,3.37,0.004
2023-01-13,-11.3,-24.7,-18.1,2023-01-13T09:14,2023-01-13T17:00,0.000,0.000,0.000,3.92,0.004
2023-01-14,0.6,-18.6,-7.8,2023-01-14T09:13,2023-01-14T17:02,0.000,0.000,0.000,2.56,0.006
2023-01-15,7.4,-6.7,0.4,2023-01-15T09:12,2023-01-15T17:03,0.055,0.004,0.386,2.21,0.005
2023-01-16,5.2,-5.7,2.0,2023-01-16T09:11,2023-01-16T17:05,0.047,0.000,0.331,2.60,0.008
2023-01-17,9.5,-5.7,1.4,2023-01-17T09:10,2023-01-17T17:07,0.083,0.000,0.606,1.84,0.006
2023-01-18,6.5,-25.0,-4.2,2023-01-18T09:09,2023-01-18T17:09,0.059,0.000,0.413,2.61,0.005
2023-01-19,-19.9,-38.0,-29.2,2023-01-19T09:08,2023-01-19T17:10,0.000,0.000,0.000,4.48,0.002
2023-01-20,-15.7,-31.2,-24.6,2023-01-20T09:06,2023-01-20T17:12,0.024,0.000,0.165,2.70,0.002
2023-01-21,-30.1,-44.4,-36.4,2023-01-21T09:05,2023-01-21T17:14,0.000,0.000,0.000,4.13,0.002
2023-01-22,-35.9,-50.8,-42.7,2023-01-22T09:04,2023-01-22T17:16,0.000,0.000,0.000,4.85,0.001
2023-01-23,-30.0,-54.0,-41.9,2023-01-23T09:02,2023-01-23T17:18,0.000,0.000,0.000,5.07,0.002
2023-01-24,-12.4,-32.1,-21.4,2023-01-24T09:01,2023-01-24T17:20,0.012,0.000,0.083,2.77,0.003
2023-01-25,1.5,-16.0,-8.1,2023-01-25T08:59,2023-01-25T17:22,0.016,0.000,0.110,3.17,0.005
2023-01-26,7.2,-4.7,-0.0,2023-01-26T08:58,2023-01-26T17:24,0.008,0.000,0.055,4.06,0.008
2023-01-27,18.9,2.0,11.3,2023-01-27T08:56,2023-01-27T17:26,0.075,0.000,0.551,2.19,0.012
2023-01-28,20.3,11.1,15.6,2023-01-28T08:55,2023-01-28T17:28,0.059,0.000,0.469,2.34,0.013
2023-01-29,21.8,10.2,15.3,2023-01-29T08:53,2023-01-29T17:30,0.071,0.000,0.496,2.57,0.009
2023-01-30,19.1,6.5,12.0,2023-01-30T08:51,2023-01-30T17:32,0.028,0.000,0.193,3.17,0.010
2023-01-31,8.6,-9.4,4.6,2023-01-31T08:50,2023-01-31T17:34,0.008,0.000,0.055,3.71,0.008
2023-02-01,1.4,-21.3,-9.9,2023-02-01T08:48,2023-02-01T17:36,0.000,0.000,0.000,4.49,0.006
2023-02-02,7.8,-6.5,-0.4,2023-02-02T08:46,2023-02-02T17:38,0.000,0.000,0.000,4.65,0.007
2023-02-03,11.8,-9.9,1.2,2023-02-03T08:44,2023-02-03T17:40,0.024,0.000,0.165,4.41,0.009
2023-02-04,11.2,-1.0,6.5,2023-02-04T08:43,2023-02-04T17:42,0.012,0.000,0.083,5.26,0.009
2023-02-05,11.3,-7.7,0.2,2023-02-05T08:41,2023-02-05T17:44,0.000,0.000,0.000,5.50,0.009
2023-02-06,13.6,0.5,6.0,2023-02-06T08:39,2023-02-06T17:46,0.020,0.000,0.138,4.93,0.010
2023-02-07,13.4,-1.6,5.5,2023-02-07T08:37,2023-02-07T17:48,0.012,0.000,0.110,5.41,0.011
2023-02-08,13.4,-6.0,1.4,2023-02-08T08:35,2023-02-08T17:50,0.000,0.000,0.000,6.04,0.011
2023-02-09,14.9,-8.4,2.1,2023-02-09T08:33,2023-02-09T17:52,0.039,0.000,0.276,5.03,0.010
2023-02-10,11.0,-10.6,0.9,2023-02-10T08:31,2023-02-10T17:54,0.008,0.000,0.055,6.66,0.011
2023-02-11,7.5,-13.6,-3.8,2023-02-11T08:29,2023-02-11T17:56,0.000,0.000,0.000,6.42,0.010
2023-02-12,10.5,-11.9,-2.1,2023-02-12T08:27,2023-02-12T17:58,0.000,0.000,0.000,7.64,0.012
2023-02-13,14.0,-13.4,-1.3,2023-02-13T08:25,2023-02-13T18:00,0.000,0.000,0.000,8.06,0.015
2023-02-14,16.5,-8.6,2.5,2023-02-14T08:23,2023-02-14T18:02,0.000,0.000,0.000,7.53,0.015
2023-02-15,10.7,-14.8,-0.8,2023-02-15T08:21,2023-02-15T18:05,0.004,0.000,0.055,7.73,0.013
2023-02-16,7.4,-10.9,-0.9,2023-02-16T08:18,2023-02-16T18:07,0.004,0.000,0.028,6.41,0.011
2023-02-17,9.2,-22.5,-5.1,2023-02-17T08:16,2023-02-17T18:09,0.039,0.000,0.276,7.12,0.012
2023-02-18,15.8,7.7,11.9,2023-02-18T08:14,2023-02-18T18:11,0.106,0.000,0.772,5.94,0.017
2023-02-19,10.4,-7.0,2.8,2023-02-19T08:12,2023-02-19T18:13,0.000,0.000,0.000,9.36,0.016
2023-02-20,13.8,-14.5,0.0,2023-02-20T08:09,2023-02-20T18:15,0.004,0.000,0.028,7.38,0.014
2023-02-21,21.4,0.9,11.5,2023-02-21T08:07,2023-02-21T18:17,0.028,0.000,0.193,6.97,0.017
2023-02-22,17.5,4.1,13.0,2023-02-22T08:05,2023-02-22T18:19,0.004,0.000,0.028,6.66,0.016
2023-02-23,14.9,-13.5,2.5,2023-02-23T08:03,2023-02-23T18:21,0.000,0.000,0.000,9.96,0.018
2023-02-24,20.4,-12.5,2.9,2023-02-24T08:00,2023-02-24T18:23,0.000,0.000,0.000,10.46,0.022
2023-02-25,28.0,-4.5,12.1,2023-02-25T07:58,2023-02-25T18:25,0.000,0.000,0.000,10.30,0.027
2023-02-26,25.4,6.3,16.7,2023-02-26T07:56,2023-02-26T18:27,0.067,0.000,0.469,4.10,0.015
2023-02-27,17.4,9.5,13.2,2023-02-27T07:53,2023-02-27T18:29,0.004,0.000,0.028,7.53,0.019
2023-02-28,14.0,5.0,10.3,2023-02-28T07:51,2023-02-28T18:31,0.012,0.000,0.083,6.47,0.016
2023-03-01,33.9,1.7,17.2,2023-03-01T07:49,2023-03-01T18:33,0.020,0.000,0.138,6.62,0.029
2023-03-02,38.5,25.7,30.9,2023-03-02T07:46,2023-03-02T18:35,0.094,0.000,0.661,4.27,0.026
2023-03-03,44.9,15.5,29.7,2023-03-03T07:44,2023-03-03T18:37,0.000,0.000,0.000,11.16,0.049
2023-03-04,40.2,20.3,28.5,2023-03-04T07:42,2023-03-04T18:39,0.000,0.000,0.000,8.35,0.041
2023-03-05,22.3,4.3,16.7,2023-03-05T07:39,2023-03-05T18:41,0.035,0.000,0.248,8.54,0.025
2023-03-06,24.7,-1.9,11.3,2023-03-06T07:37,2023-03-06T18:43,0.012,0.000,0.083,8.29,0.023
2023-03-07,29.5,15.7,21.3,2023-03-07T07:34,2023-03-07T18:45,0.016,0.000,0.110,10.57,0.032
2023-03-08,29.3,21.7,24.9,2023-03-08T07:32,2023-03-08T18:47,0.031,0.000,0.220,7.86,0.030
2023-03-09,30.7,15.0,25.3,2023-03-09T07:29,2023-03-09T18:49,0.059,0.000,0.413,9.02,0.037
2023-03-10,10.4,0.3,4.5,2023-03-10T07:27,2023-03-10T18:51,0.004,0.004,0.000,11.33,0.020
2023-03-11,16.3,-13.7,2.7,2023-03-11T07:24,2023-03-11T18:53,0.000,0.000,0.000,12.42,0.025
2023-03-12,27.8,3.0,15.7,2023-03-12T07:22,2023-03-12T18:55,0.024,0.004,0.138,9.49,0.031
2023-03-13,29.0,11.9,22.7,2023-03-13T07:19,2023-03-13T18:57,0.102,0.000,0.744,7.05,0.026
2023-03-14,19.5,7.3,13.6,2023-03-14T07:17,2023-03-14T18:59,0.063,0.000,0.441,10.18,0.026
2023-03-15,22.0,-2.4,11.1,2023-03-15T07:14,2023-03-15T19:01,0.000,0.000,0.000,14.87,0.037
2023-03-16,25.5,-8.2,8.8,2023-03-16T07:12,2023-03-16T19:03,0.000,0.000,0.000,15.31,0.039
2023-03-17,33.8,-4.1,15.0,2023-03-17T07:09,2023-03-17T19:05,0.000,0.000,0.000,15.77,0.050
2023-03-18,40.4,5.9,23.6,2023-03-18T07:07,2023-03-18T19:06,0.000,0.000,0.000,15.37,0.058
2023-03-19,43.0,16.8,29.7,2023-03-19T07:04,2023-03-19T19:08,0.000,0.000,0.000,15.86,0.067
