time,temperature_2m (°F),relative_humidity_2m (%),precipitation (inch),rain (inch),snowfall (inch),snow_depth (ft),et0_fao_evapotranspiration (inch)
2022-01-06T10:00,-6.7,80,0.000,0.000,0.000,1.017,0.000
2022-01-06T11:00,-1.7,74,0.000,0.000,0.000,1.017,0.000
2022-01-06T12:00,2.2,68,0.000,0.000,0.028,1.017,0.001
2022-01-06T13:00,6.0,64,0.000,0.000,0.000,1.017,0.001
2022-01-06T14:00,8.2,64,0.000,0.000,0.000,1.017,0.001
2022-01-06T15:00,10.5,60,0.000,0.000,0.000,1.017,0.001
2022-01-06T16:00,7.8,73,0.000,0.000,0.000,1.017,0.000
2022-01-06T17:00,8.9,72,0.000,0.000,0.000,1.017,0.000
2022-01-06T18:00,5.5,77,0.000,0.000,0.000,1.017,0.000
2022-01-06T19:00,8.6,73,0.000,0.000,0.000,1.017,0.000
2022-01-06T20:00,4.3,79,0.000,0.000,0.000,1.017,0.000
2022-01-06T21:00,3.6,79,0.000,0.000,0.000,1.017,0.000
2022-01-06T22:00,2.3,79,0.000,0.000,0.000,1.017,0.000
2022-01-06T23:00,1.4,80,0.000,0.000,0.000,1.017,0.000
2022-01-07T00:00,3.2,79,0.000,0.000,0.000,1.017,0.000
2022-01-07T01:00,3.5,80,0.000,0.000,0.000,1.017,0.000
2022-01-07T02:00,5.4,78,0.004,0.000,0.028,1.017,0.000
2022-01-07T03:00,7.1,78,0.004,0.000,0.028,1.017,0.000
2022-01-07T04:00,8.2,79,0.012,0.000,0.083,1.017,0.000
2022-01-07T05:00,9.3,82,0.008,0.000,0.055,1.017,0.000
2022-01-07T06:00,9.3,87,0.004,0.000,0.028,1.017,0.000
2022-01-07T07:00,10.4,88,0.004,0.000,0.028,1.050,0.000
2022-01-07T08:00,8.9,89,0.004,0.000,0.028,1.050,0.000
2022-01-07T09:00,9.0,89,0.000,0.000,0.000,1.050,0.000
2022-01-07T10:00,9.9,87,0.000,0.000,0.000,1.050,0.000
2022-01-07T11:00,11.9,84,0.000,0.000,0.000,1.050,0.000
2022-01-07T12:00,13.1,82,0.000,0.000,0.000,1.050,0.001
2022-01-07T13:00,13.9,80,0.000,0.000,0.000,1.050,0.001
2022-01-07T14:00,14.0,80,0.000,0.000,0.000,1.050,0.001
2022-01-07T15:00,13.6,81,0.000,0.000,0.000,1.050,0.001
2022-01-07T16:00,13.1,83,0.000,0.000,0.000,1.050,0.000
2022-01-07T17:00,12.5,85,0.000,0.000,0.000,1.050,0.000
2022-01-07T18:00,11.7,85,0.000,0.000,0.000,1.050,0.000
2022-01-07T19:00,11.0,85,0.000,0.000,0.000,1.050,0.000
2022-01-07T20:00,10.5,84,0.000,0.000,0.000,1.050,0.000
2022-01-07T21:00,9.1,86,0.000,0.000,0.000,1.050,0.000
2022-01-07T22:00,7.4,86,0.000,0.000,0.000,1.050,0.000
2022-01-07T23:00,5.9,85,0.000,0.000,0.000,1.050,0.000
2022-01-08T00:00,4.7,84,0.000,0.000,0.000,1.050,0.000
2022-01-08T01:00,3.5,84,0.000,0.000,0.000,1.050,0.000
2022-01-08T02:00,2.1,83,0.000,0.000,0.000,1.050,0.000
2022-01-08T03:00,0.4,83,0.000,0.000,0.000,1.050,0.000
2022-01-08T04:00,-1.4,84,0.000,0.000,0.000,1.050,0.000
2022-01-08T05:00,-2.7,85,0.000,0.000,0.000,1.050,0.000
2022-01-08T06:00,-4.1,86,0.000,0.000,0.000,1.050,0.000
2022-01-08T07:00,-5.4,85,0.000,0.000,0.000,1.050,0.000
2022-01-08T08:00,-3.3,82,0.000,0.000,0.000,1.050,0.000
2022-01-08T09:00,-5.1,82,0.000,0.000,0.000,1.050,0.000
2022-01-08T10:00,-6.7,81,0.000,0.000,0.000,1.050,0.000
2022-01-08T11:00,-5.8,80,0.000,0.000,0.000,1.050,0.000
2022-01-08T12:00,-3.7,76,0.000,0.000,0.000,1.050,0.001
2022-01-08T13:00,-0.5,72,0.000,0.000,0.000,1.050,0.001
2022-01-08T14:00,-0.5,72,0.000,0.000,0.000,1.050,0.001
2022-01-08T15:00,-1.8,73,0.000,0.000,0.000,1.050,0.001
2022-01-08T16:00,-4.1,79,0.000,0.000,0.000,1.050,0.000
2022-01-08T17:00,-7.4,80,0.000,0.000,0.000,1.050,0.000
2022-01-08T18:00,-10.0,83,0.000,0.000,0.000,1.050,0.000
2022-01-08T19:00,-13.0,85,0.000,0.000,0.000,1.050,0.000
2022-01-08T20:00,-12.2,86,0.000,0.000,0.000,1.050,0.000
2022-01-08T21:00,-11.9,89,0.000,0.000,0.000,1.050,0.000
2022-01-08T22:00,-10.7,88,0.000,0.000,0.000,1.050,0.000
2022-01-08T23:00,-11.9,88,0.000,0.000,0.000,1.050,0.000
2022-01-09T00:00,-13.3,87,0.000,0.000,0.000,1.050,0.000
2022-01-09T01:00,-14.4,86,0.000,0.000,0.000,1.050,0.000
2022-01-09T02:00,-15.4,85,0.000,0.000,0.000,1.050,0.000
2022-01-09T03:00,-16.5,83,0.000,0.000,0.000,1.050,0.000
2022-01-09T04:00,-17.6,77,0.000,0.000,0.000,1.050,0.000
2022-01-09T05:00,-18.8,75,0.000,0.000,0.000,1.050,0.000
2022-01-09T06:00,-20.1,75,0.000,0.000,0.000,1.050,0.000
2022-01-09T07:00,-20.4,75,0.000,0.000,0.000,1.050,0.000
2022-01-09T08:00,-25.5,75,0.000,0.000,0.000,1.050,0.000
2022-01-09T09:00,-30.1,77,0.000,0.000,0.000,1.050,0.000
2022-01-09T10:00,-29.9,76,0.000,0.000,0.000,1.050,0.000
2022-01-09T11:00,-25.0,76,0.000,0.000,0.000,1.050,0.000
2022-01-09T12:00,-20.2,69,0.000,0.000,0.000,1.050,0.000
2022-01-09T13:00,-15.7,64,0.000,0.000,0.000,1.050,0.001
2022-01-09T14:00,-12.1,62,0.000,0.000,0.000,1.050,0.001
2022-01-09T15:00,-11.1,62,0.000,0.000,0.000,1.050,0.001
2022-01-09T16:00,-11.0,66,0.000,0.000,0.000,1.050,0.000
2022-01-09T17:00,-11.9,68,0.000,0.000,0.000,1.050,0.000
2022-01-09T18:00,-13.0,71,0.000,0.000,0.000,1.050,0.000
2022-01-09T19:00,-13.9,72,0.000,0.000,0.000,1.050,0.000
2022-01-09T20:00,-14.8,74,0.000,0.000,0.000,1.050,0.000
2022-01-09T21:00,-15.0,73,0.000,0.000,0.000,1.050,0.000
2022-01-09T22:00,-15.5,72,0.000,0.000,0.000,1.050,0.000
2022-01-09T23:00,-15.8,73,0.000,0.000,0.000,1.050,0.000
2022-01-10T00:00,-15.8,73,0.000,0.000,0.000,1.050,0.000
2022-01-10T01:00,-15.8,74,0.000,0.000,0.000,1.050,0.000
2022-01-10T02:00,-15.3,74,0.000,0.000,0.000,1.050,0.000
2022-01-10T03:00,-14.7,73,0.000,0.000,0.000,1.050,0.000
2022-01-10T04:00,-14.1,71,0.000,0.000,0.000,1.050,0.000
2022-01-10T05:00,-14.1,70,0.000,0.000,0.000,1.050,0.000
2022-01-10T06:00,-14.4,71,0.000,0.000,0.000,1.050,0.000
2022-01-10T07:00,-14.8,71,0.000,0.000,0.000,1.050,0.000
2022-01-10T08:00,-19.8,79,0.000,0.000,0.000,1.050,0.000
2022-01-10T09:00,-18.3,78,0.000,0.000,0.000,1.050,0.000
2022-01-10T10:00,-17.6,77,0.000,0.000,0.000,1.050,0.000
2022-01-10T11:00,-15.1,72,0.000,0.000,0.000,1.050,0.000
2022-01-10T12:00,-12.1,64,0.000,0.000,0.000,1.050,0.000
2022-01-10T13:00,-9.7,62,0.000,0.000,0.000,1.050,0.001
2022-01-10T14:00,-6.0,58,0.000,0.000,0.000,1.050,0.001
2022-01-10T15:00,-4.0,61,0.000,0.000,0.000,1.050,0.001
2022-01-10T16:00,-0.9,62,0.008,0.000,0.055,1.050,0.000
2022-01-10T17:00,0.6,67,0.004,0.000,0.028,1.050,0.000
2022-01-10T18:00,1.1,73,0.000,0.000,0.000,1.050,0.000
2022-01-10T19:00,1.9,78,0.004,0.000,0.028,1.083,0.000
2022-01-10T20:00,2.6,82,0.004,0.000,0.028,1.083,0.000
2022-01-10T21:00,4.9,84,0.000,0.000,0.000,1.083,0.000
2022-01-10T22:00,5.7,85,0.000,0.000,0.000,1.083,0.000
2022-01-10T23:00,6.9,84,0.004,0.000,0.028,1.083,0.000
2022-01-11T00:00,7.7,84,0.004,0.000,0.028,1.083,0.000
2022-01-11T01:00,8.1,84,0.000,0.000,0.000,1.083,0.000
2022-01-11T02:00,8.9,83,0.000,0.000,0.000,1.083,0.000
2022-01-11T03:00,9.3,83,0.000,0.000,0.000,1.083,0.000
2022-01-11T04:00,8.9,84,0.000,0.000,0.000,1.083,0.000
2022-01-11T05:00,9.1,83,0.000,0.000,0.000,1.083,0.000
2022-01-11T06:00,9.5,81,0.000,0.000,0.000,1.083,0.000
2022-01-11T07:00,8.6,82,0.000,0.000,0.000,1.083,0.000
2022-01-11T08:00,7.9,82,0.000,0.000,0.000,1.083,0.000
2022-01-11T09:00,6.8,81,0.000,0.000,0.000,1.083,0.000
2022-01-11T10:00,5.0,73,0.000,0.000,0.000,1.083,0.000
2022-01-11T11:00,4.6,69,0.000,0.000,0.000,1.083,0.001
2022-01-11T12:00,4.2,68,0.000,0.000,0.000,1.083,0.001
2022-01-11T13:00,4.1,66,0.000,0.000,0.000,1.083,0.001
2022-01-11T14:00,4.1,65,0.000,0.000,0.000,1.083,0.001
2022-01-11T15:00,3.8,65,0.000,0.000,0.000,1.083,0.001
2022-01-11T16:00,3.0,69,0.000,0.000,0.000,1.083,0.001
2022-01-11T17:00,0.4,78,0.000,0.000,0.000,1.083,0.000
2022-01-11T18:00,-1.5,78,0.000,0.000,0.000,1.083,0.000
2022-01-11T19:00,-2.9,78,0.000,0.000,0.000,1.083,0.000
2022-01-11T20:00,-3.2,81,0.000,0.000,0.000,1.083,0.000
2022-01-11T21:00,-4.7,81,0.000,0.000,0.000,1.083,0.000
2022-01-11T22:00,-5.6,82,0.000,0.000,0.000,1.083,0.000
2022-01-11T23:00,-5.7,82,0.000,0.000,0.000,1.083,0.000
2022-01-12T00:00,-5.6,82,0.000,0.000,0.000,1.083,0.000
2022-01-12T01:00,-5.5,82,0.000,0.000,0.000,1.083,0.000
2022-01-12T02:00,-6.3,82,0.000,0.000,0.000,1.083,0.000
2022-01-12T03:00,-7.1,83,0.000,0.000,0.000,1.083,0.000
2022-01-12T04:00,-8.0,84,0.000,0.000,0.000,1.083,0.000
2022-01-12T05:00,-9.0,84,0.000,0.000,0.000,1.083,0.000
2022-01-12T06:00,-8.6,81,0.000,0.000,0.000,1.083,0.000
2022-01-12T07:00,-8.2,80,0.000,0.000,0.000,1.083,0.000
2022-01-12T08:00,-6.6,81,0.000,0.000,0.000,1.083,0.000
2022-01-12T09:00,-5.0,80,0.004,0.000,0.028,1.083,0.000
2022-01-12T10:00,-2.5,77,0.004,0.000,0.028,1.083,0.000
2022-01-12T11:00,0.8,73,0.000,0.000,0.000,1.083,0.000
2022-01-12T12:00,3.6,70,0.000,0.000,0.000,1.083,0.001
2022-01-12T13:00,6.7,66,0.000,0.000,0.000,1.083,0.001
2022-01-12T14:00,9.2,63,0.000,0.000,0.000,1.083,0.001
2022-01-12T15:00,10.3,64,0.000,0.000,0.000,1.083,0.001
2022-01-12T16:00,9.8,65,0.000,0.000,0.000,1.083,0.001
2022-01-12T17:00,7.6,73,0.000,0.000,0.000,1.083,0.000
2022-01-12T18:00,6.2,77,0.000,0.000,0.000,1.083,0.000
2022-01-12T19:00,6.3,76,0.000,0.000,0.000,1.083,0.000
2022-01-12T20:00,5.5,79,0.000,0.000,0.000,1.083,0.000
2022-01-12T21:00,4.4,76,0.000,0.000,0.000,1.083,0.000
2022-01-12T22:00,4.0,74,0.000,0.000,0.000,1.083,0.000
2022-01-12T23:00,3.1,73,0.000,0.000,0.000,1.083,0.000
2022-01-13T00:00,1.4,74,0.000,0.000,0.000,1.083,0.000
2022-01-13T01:00,0.3,74,0.000,0.000,0.000,1.083,0.000
2022-01-13T02:00,-0.4,74,0.000,0.000,0.000,1.083,0.000
2022-01-13T03:00,-0.3,74,0.000,0.000,0.000,1.083,0.000
2022-01-13T04:00,0.5,74,0.000,0.000,0.000,1.083,0.000
2022-01-13T05:00,0.5,75,0.000,0.000,0.000,1.083,0.000
2022-01-13T06:00,-0.3,77,0.000,0.000,0.000,1.083,0.000
2022-01-13T07:00,-0.9,79,0.000,0.000,0.000,1.083,0.000
2022-01-13T08:00,-1.7,81,0.000,0.000,0.000,1.083,0.000
2022-01-13T09:00,-1.3,84,0.000,0.000,0.000,1.083,0.000
2022-01-13T10:00,-0.1,85,0.000,0.000,0.000,1.083,0.000
2022-01-13T11:00,2.6,83,0.000,0.000,0.000,1.083,0.000
2022-01-13T12:00,4.6,75,0.000,0.000,0.000,1.083,0.001
2022-01-13T13:00,5.8,73,0.000,0.000,0.000,1.083,0.001
2022-01-13T14:00,5.9,71,0.000,0.000,0.000,1.083,0.001
2022-01-13T15:00,5.3,71,0.000,0.000,0.000,1.083,0.001
2022-01-13T16:00,4.4,74,0.000,0.000,0.000,1.083,0.000
2022-01-13T17:00,0.5,80,0.000,0.000,0.000,1.083,0.000
2022-01-13T18:00,-1.9,81,0.000,0.000,0.000,1.083,0.000
2022-01-13T19:00,-3.4,80,0.000,0.000,0.000,1.083,0.000
2022-01-13T20:00,-4.9,81,0.000,0.000,0.000,1.083,0.000
2022-01-13T21:00,-6.0,82,0.000,0.000,0.000,1.083,0.000
2022-01-13T22:00,-8.2,85,0.000,0.000,0.000,1.083,0.000
2022-01-13T23:00,-10.8,90,0.000,0.000,0.000,1.083,0.000
2022-01-14T00:00,-12.4,89,0.000,0.000,0.000,1.083,0.000
2022-01-14T01:00,-13.5,86,0.000,0.000,0.000,1.083,0.000
2022-01-14T02:00,-14.2,85,0.000,0.000,0.000,1.083,0.000
2022-01-14T03:00,-14.0,82,0.000,0.000,0.000,1.083,0.000
2022-01-14T04:00,-14.2,80,0.000,0.000,0.000,1.083,0.000
2022-01-14T05:00,-15.4,79,0.000,0.000,0.000,1.083,0.000
2022-01-14T06:00,-17.1,79,0.000,0.000,0.000,1.083,0.000
2022-01-14T07:00,-18.7,80,0.000,0.000,0.000,1.083,0.000
2022-01-14T08:00,-21.5,82,0.000,0.000,0.000,1.083,0.000
2022-01-14T09:00,-23.3,83,0.000,0.000,0.000,1.083,0.000
2022-01-14T10:00,-24.7,82,0.000,0.000,0.000,1.083,0.000
2022-01-14T11:00,-22.3,78,0.000,0.000,0.000,1.083,0.000
2022-01-14T12:00,-13.0,62,0.000,0.000,0.000,1.083,0.000
2022-01-14T13:00,-9.9,57,0.000,0.000,0.000,1.083,0.001
2022-01-14T14:00,-8.4,59,0.000,0.000,0.000,1.083,0.001
2022-01-14T15:00,-7.1,60,0.000,0.000,0.000,1.083,0.001
2022-01-14T16:00,-10.0,69,0.000,0.000,0.000,1.083,0.000
2022-01-14T17:00,-13.2,74,0.000,0.000,0.000,1.083,0.000
2022-01-14T18:00,-15.6,77,0.000,0.000,0.000,1.083,0.000
2022-01-14T19:00,-15.4,78,0.000,0.000,0.000,1.083,0.000
2022-01-14T20:00,-14.8,79,0.000,0.000,0.000,1.083,0.000
2022-01-14T21:00,-20.2,82,0.000,0.000,0.000,1.083,0.000
2022-01-14T22:00,-21.3,83,0.000,0.000,0.000,1.083,0.000
2022-01-14T23:00,-22.1,84,0.000,0.000,0.000,1.083,0.000
2022-01-15T00:00,-21.9,84,0.000,0.000,0.000,1.083,0.000
2022-01-15T01:00,-22.0,85,0.000,0.000,0.000,1.083,0.000
2022-01-15T02:00,-22.9,86,0.000,0.000,0.000,1.083,0.000
2022-01-15T03:00,-23.6,86,0.000,0.000,0.000,1.083,0.000
2022-01-15T04:00,-22.9,85,0.000,0.000,0.000,1.083,0.000
2022-01-15T05:00,-20.5,84,0.000,0.000,0.000,1.083,0.000
2022-01-15T06:00,-20.2,82,0.000,0.000,0.000,1.083,0.000
2022-01-15T07:00,-19.8,79,0.000,0.000,0.000,1.083,0.000
2022-01-15T08:00,-20.3,79,0.000,0.000,0.000,1.115,0.000
2022-01-15T09:00,-19.1,77,0.000,0.000,0.000,1.115,0.000
2022-01-15T10:00,-17.4,74,0.000,0.000,0.000,1.115,0.000
2022-01-15T11:00,-14.5,67,0.000,0.000,0.000,1.115,0.000
2022-01-15T12:00,-11.2,64,0.000,0.000,0.000,1.115,0.000
2022-01-15T13:00,-6.9,61,0.000,0.000,0.000,1.115,0.001
2022-01-15T14:00,-4.2,63,0.000,0.000,0.000,1.115,0.001
2022-01-15T15:00,-3.5,66,0.000,0.000,0.000,1.115,0.001
2022-01-15T16:00,-4.8,69,0.000,0.000,0.000,1.115,0.000
2022-01-15T17:00,-6.9,71,0.000,0.000,0.000,1.115,0.000
2022-01-15T18:00,-9.0,74,0.000,0.000,0.000,1.115,0.000
2022-01-15T19:00,-11.2,77,0.000,0.000,0.000,1.115,0.000
2022-01-15T20:00,-9.0,78,0.000,0.000,0.000,1.115,0.000
2022-01-15T21:00,-12.9,81,0.000,0.000,0.000,1.115,0.000
2022-01-15T22:00,-12.8,82,0.000,0.000,0.000,1.115,0.000
2022-01-15T23:00,-13.9,83,0.000,0.000,0.000,1.115,0.000
2022-01-16T00:00,-12.0,83,0.000,0.000,0.000,1.115,0.000
2022-01-16T01:00,-12.1,83,0.000,0.000,0.000,1.115,0.000
2022-01-16T02:00,-14.9,83,0.000,0.000,0.000,1.115,0.000
2022-01-16T03:00,-16.3,84,0.000,0.000,0.000,1.115,0.000
2022-01-16T04:00,-16.6,83,0.000,0.000,0.000,1.115,0.000
2022-01-16T05:00,-17.2,84,0.000,0.000,0.000,1.115,0.000
2022-01-16T06:00,-18.3,85,0.000,0.000,0.000,1.115,0.000
2022-01-16T07:00,-19.7,84,0.000,0.000,0.000,1.115,0.000
